City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Noumea,NC,2020-08-28 18:12:37,-22.28,166.46,71.01,93,90,2.24
122,West Odessa,US,2020-08-28 18:12:37,31.84,-102.5,99.0,26,1,14.99
123,Puerto Leguizamo,CO,2020-08-28 18:12:38,-0.19,-74.78,95.74,43,53,1.07
124,Rio Gallegos,AR,2020-08-28 18:12:38,-51.62,-69.22,35.6,51,40,38.03
125,Nosy Varika,MG,2020-08-28 18:12:38,-20.58,48.53,69.6,86,0,5.32
126,Mabay,PH,2020-08-28 18:12:38,6.06,124.47,78.51,77,99,3.98
127,Saint-Philippe,RE,2020-08-28 18:12:38,-21.36,55.77,71.6,77,40,4.7
128,Dingle,PH,2020-08-28 18:12:39,11.0,122.67,75.87,88,100,3.4
129,Asau,RO,2020-08-28 18:12:39,46.43,26.4,73.4,46,72,4.7
130,Coihaique,CL,2020-08-28 18:12:39,-45.58,-72.07,35.6,59,75,6.93
131,Gasa,PS,2020-08-28 18:12:39,31.5,34.47,82.99,69,0,9.17
132,Kavieng,PG,2020-08-28 18:12:40,-2.57,150.8,81.23,81,99,13.15
133,Cruzilia,BR,2020-08-28 18:12:40,-21.84,-44.81,75.83,42,0,6.82
134,Mehamn,NO,2020-08-28 18:12:40,71.04,27.85,46.4,75,40,11.41
135,Puerto Ayora,EC,2020-08-28 18:12:40,-0.74,-90.35,71.6,73,75,19.46
136,Sarangani,PH,2020-08-28 18:12:41,5.4,125.46,83.08,77,90,9.48
137,Beira,MZ,2020-08-28 18:12:41,-19.84,34.84,75.0,94,40,13.87
138,Verkhnyaya Inta,RU,2020-08-28 18:12:41,65.98,60.31,51.21,79,72,7.23
139,Iqaluit,CA,2020-08-28 18:07:54,63.75,-68.51,57.2,41,75,12.75
140,Klaksvik,FO,2020-08-28 18:12:41,62.23,-6.59,50.0,71,97,11.41
141,Bielsk Podlaski,PL,2020-08-28 18:12:42,52.77,23.19,62.01,73,84,4.41
142,Artsvaberd,AM,2020-08-28 18:12:42,40.83,45.47,63.88,68,49,5.17
143,Vardo,NO,2020-08-28 18:12:42,70.37,31.11,50.0,61,75,9.17
144,Ornskoldsvik,SE,2020-08-28 18:12:42,63.29,18.72,53.6,71,74,4.7
145,Beipiao,CN,2020-08-28 18:12:43,41.79,120.78,60.22,87,17,6.08
146,Wewak,PG,2020-08-28 18:12:43,-3.55,143.63,78.24,86,100,10.47
147,Nelson Bay,AU,2020-08-28 18:12:43,-32.72,152.15,46.0,87,0,6.93
148,Scottsboro,US,2020-08-28 18:12:43,34.67,-86.03,82.4,88,20,10.29
149,Port Alfred,ZA,2020-08-28 18:07:51,-33.59,26.89,58.68,68,0,5.26
150,Bandarbeyla,SO,2020-08-28 18:12:44,9.49,50.81,76.12,80,79,30.76
151,Tasiilaq,GL,2020-08-28 18:12:44,65.61,-37.64,44.6,70,75,3.36
152,Kaitangata,NZ,2020-08-28 18:12:44,-46.28,169.85,42.01,73,38,4.0
153,Ust-Koksa,RU,2020-08-28 18:12:44,50.27,85.61,48.51,79,97,0.98
154,Athabasca,CA,2020-08-28 18:12:44,54.72,-113.29,62.44,63,46,4.59
155,Pemangkat,ID,2020-08-28 18:12:45,1.17,108.97,78.13,85,95,3.09
156,Georgetown,MY,2020-08-28 18:12:45,5.41,100.34,80.6,88,20,1.68
157,Sokna,NO,2020-08-28 18:12:45,60.24,9.92,55.99,88,77,3.0
158,Necochea,AR,2020-08-28 18:12:45,-38.55,-58.74,66.0,42,17,14.0
159,Hofn,IS,2020-08-28 18:12:46,64.25,-15.21,51.8,81,20,8.05
160,Balkhash,KZ,2020-08-28 18:12:46,46.84,74.98,68.25,50,0,18.32
161,Port Hardy,CA,2020-08-28 18:12:46,50.7,-127.42,57.2,93,90,2.24
162,Saint-Georges,GD,2020-08-28 18:11:19,12.06,-61.75,91.4,63,20,11.41
163,Bathsheba,BB,2020-08-28 18:12:46,13.22,-59.52,87.8,70,40,19.46
164,Torbay,CA,2020-08-28 18:12:47,47.67,-52.73,66.2,48,75,24.16
165,Algiers,DZ,2020-08-28 18:12:47,36.75,3.04,89.6,40,20,4.7
166,Sao Filipe,CV,2020-08-28 18:12:47,14.9,-24.5,79.03,82,91,2.86
167,Upernavik,GL,2020-08-28 18:12:47,72.79,-56.15,41.25,67,0,14.07
168,Ketchikan,US,2020-08-28 18:08:31,55.34,-131.65,55.4,87,90,10.29
169,Lavrentiya,RU,2020-08-28 18:12:09,65.58,-171.0,48.31,80,92,3.87
170,Katsuura,JP,2020-08-28 18:12:48,35.13,140.3,84.2,83,40,12.75
171,Aquiraz,BR,2020-08-28 18:08:59,-3.9,-38.39,84.2,66,28,18.34
172,Lazaro Cardenas,MX,2020-08-28 18:12:09,17.96,-102.2,83.44,70,85,4.54
173,Nador,MA,2020-08-28 18:12:49,35.17,-2.93,91.4,42,20,17.22
174,Goundam,ML,2020-08-28 18:12:49,16.41,-3.67,95.79,39,11,9.98
175,Ampanihy,MG,2020-08-28 18:12:49,-24.7,44.75,76.6,51,85,7.23
176,Bayan,CN,2020-08-28 18:12:49,46.08,127.4,68.0,99,91,15.57
177,Sinnamary,GF,2020-08-28 18:12:50,5.38,-52.95,85.41,66,60,7.18
178,San Blas,MX,2020-08-28 18:12:50,21.52,-105.27,78.8,74,90,6.93
179,Wadenswil,CH,2020-08-28 18:12:50,47.23,8.67,62.6,93,75,4.7
180,Aden,YE,2020-08-28 18:12:02,12.78,45.04,88.39,61,7,5.68
181,Puerto Escondido,MX,2020-08-28 18:12:50,15.85,-97.07,84.2,51,90,3.36
182,Beidao,CN,2020-08-28 18:12:51,34.57,105.89,68.76,82,4,6.13
183,Makiwalo,PH,2020-08-28 18:12:51,12.51,124.71,78.13,89,100,8.59
184,Carutapera,BR,2020-08-28 18:12:51,-1.2,-46.02,84.67,69,88,9.93
185,Pemba,MZ,2020-08-28 18:12:51,-12.97,40.52,75.2,83,40,6.93
186,Kununurra,AU,2020-08-28 18:12:51,-15.77,128.73,80.6,23,5,10.29
187,Arcata,US,2020-08-28 18:08:18,40.87,-124.08,63.0,87,1,3.36
188,Nikolskoye,RU,2020-08-28 18:12:52,59.7,30.79,59.0,87,90,8.95
189,Vila Franca Do Campo,PT,2020-08-28 18:12:52,37.72,-25.43,77.0,88,20,13.87
190,Canillo,AD,2020-08-28 18:12:52,42.58,1.67,75.2,60,40,13.87
191,Great Bend,US,2020-08-28 18:12:52,38.36,-98.76,97.0,38,1,6.93
192,Coquimbo,CL,2020-08-28 18:12:53,-29.95,-71.34,58.41,59,0,8.5
193,Amapa,BR,2020-08-28 18:12:53,1.0,-52.0,91.04,52,77,3.18
194,Tobermory,CA,2020-08-28 18:12:53,45.25,-81.67,69.01,72,41,1.01
195,Bonthe,SL,2020-08-28 18:12:53,7.53,-12.51,77.34,84,100,10.65
196,Snezhnogorsk,RU,2020-08-28 18:12:54,69.19,33.25,46.4,81,88,2.24
197,Salalah,OM,2020-08-28 18:12:54,17.02,54.09,75.2,100,90,3.36
198,Voyvozh,RU,2020-08-28 18:12:54,62.89,54.96,50.07,88,91,4.38
199,Rio Grande,BR,2020-08-28 18:12:54,-32.03,-52.1,66.2,82,75,10.29
200,Oriximina,BR,2020-08-28 18:12:54,-1.77,-55.87,94.64,41,88,3.02
201,Ankazoabo,MG,2020-08-28 18:12:55,-22.28,44.52,73.08,50,82,4.47
202,Fallon,US,2020-08-28 18:12:55,39.47,-118.78,84.0,27,40,9.57
203,Fort Frances,CA,2020-08-28 18:12:55,48.6,-93.4,71.6,64,75,3.36
204,San Cristobal,VE,2020-08-28 18:12:23,7.77,-72.22,89.6,55,20,12.75
205,Yugo-Kamskiy,RU,2020-08-28 18:12:56,57.71,55.59,64.4,88,86,6.71
206,Vanimo,PG,2020-08-28 18:12:56,-2.67,141.3,79.47,84,100,6.11
207,Avera,US,2020-08-28 18:12:56,33.19,-82.53,89.6,62,40,10.29
208,Isangel,VU,2020-08-28 18:12:56,-19.55,169.27,74.39,84,20,13.44
209,Vangaindrano,MG,2020-08-28 18:12:57,-23.35,47.6,68.27,90,3,4.9
210,Pamplona,ES,2020-08-28 18:12:57,42.82,-1.64,62.01,67,75,17.22
211,Yerbogachen,RU,2020-08-28 18:12:05,61.28,108.01,57.16,58,100,4.07
212,Timra,SE,2020-08-28 18:12:57,62.49,17.33,57.99,62,97,5.82
213,Hermanus,ZA,2020-08-28 18:12:58,-34.42,19.23,50.0,88,73,19.69
214,Cardonal,MX,2020-08-28 18:12:58,20.6,-99.13,74.71,55,6,4.59
215,Atasu,KZ,2020-08-28 18:12:58,48.68,71.64,64.2,48,0,8.97
216,Port Lincoln,AU,2020-08-28 18:12:58,-34.73,135.87,58.6,48,0,14.85
217,Durusu,TR,2020-08-28 18:12:58,41.31,28.68,80.6,73,0,10.29
