City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
246,Talcahuano,-36.72,-73.12,51.8,87,90,20.8,CL,light rain
247,Victoria,22.29,114.16,84.0,74,58,4.47,HK,light rain
248,Grand Gaube,-20.01,57.66,73.0,73,0,5.01,MU,clear sky
249,Poya,-21.35,165.15,66.34,88,95,6.6,NC,light rain
250,Bethel,41.37,-73.41,80.01,61,40,5.82,US,scattered clouds
251,Effingham,32.37,-81.33,91.0,66,75,8.05,US,broken clouds
252,Haines Junction,60.75,-137.51,46.92,84,100,3.53,CA,light rain
253,Namtsy,62.72,129.67,42.8,67,12,2.24,RU,few clouds
254,Ternate,0.8,127.4,79.45,79,44,1.21,ID,light rain
255,Dingle,11.0,122.67,76.14,88,100,2.98,PH,overcast clouds
256,Hobyo,5.35,48.53,77.27,81,48,26.4,SO,scattered clouds
257,Werota,11.92,37.7,64.24,82,44,4.79,ET,moderate rain
258,Sola,-13.88,167.55,80.04,84,100,20.36,VU,overcast clouds
259,San Carlos,9.66,-68.58,90.19,59,4,3.67,VE,clear sky
260,Nipawin,53.37,-104.0,59.0,77,1,16.11,CA,clear sky
261,Ikom,5.97,8.71,73.53,96,99,3.44,NG,light rain
262,Buraydah,26.33,43.98,102.2,17,0,3.36,SA,clear sky
263,Causapscal,48.35,-67.23,61.0,55,26,14.5,CA,scattered clouds
264,Sao Joao Da Barra,-21.64,-41.05,80.6,61,40,20.8,BR,scattered clouds
265,Magadan,59.57,150.8,45.14,68,75,9.55,RU,broken clouds
266,Troitsko-Pechorsk,62.71,56.2,55.22,82,86,2.86,RU,overcast clouds
267,Sao Gabriel Da Cachoeira,-0.13,-67.09,96.31,44,74,1.48,BR,broken clouds
268,Ahuimanu,21.44,-157.84,78.8,65,75,8.05,US,moderate rain
269,Ulaangom,49.98,92.07,53.31,79,100,3.11,MN,light rain
270,San Patricio,19.22,-104.7,78.8,94,75,5.82,MX,broken clouds
271,Tautira,-17.73,-149.15,71.6,83,20,4.7,PF,few clouds
272,Broome,42.25,-75.83,75.99,68,40,8.05,US,scattered clouds
273,Provideniya,64.38,-173.3,48.52,81,48,0.4,RU,scattered clouds
274,Umm Lajj,25.02,37.27,85.26,61,0,3.83,SA,clear sky
275,Kruisfontein,-34.0,24.73,57.99,61,1,1.01,ZA,clear sky
276,Tiznit,29.58,-9.5,89.24,20,0,9.66,MA,clear sky
277,Sar-E Pul,35.83,66.17,53.74,52,0,1.03,AF,clear sky
278,Half Moon Bay,37.46,-122.43,64.99,87,90,4.41,US,overcast clouds
279,Newport,51.59,-3.0,60.01,95,99,1.01,GB,light rain
280,Koumac,-20.57,164.28,68.52,85,51,12.68,NC,broken clouds
281,Palmer,42.16,-72.33,79.0,53,75,12.75,US,broken clouds
282,Puerto Escondido,15.85,-97.07,82.4,54,90,3.36,MX,overcast clouds
283,Ancud,-41.87,-73.82,50.0,65,40,6.93,CL,scattered clouds
284,Bogo,11.05,124.01,80.31,79,100,6.64,PH,overcast clouds
285,Bud,39.45,-86.18,82.4,78,75,8.05,US,broken clouds
286,Zyryanovsk,49.74,84.27,52.57,83,49,0.31,KZ,scattered clouds
287,Kodiak,57.79,-152.41,52.2,79,0,6.44,US,clear sky
288,Padang,-0.95,100.35,78.26,79,72,3.91,ID,broken clouds
289,Novobirilyussy,56.95,90.67,52.45,87,98,2.95,RU,overcast clouds
290,Shasta Lake,40.68,-122.37,88.0,30,1,4.7,US,clear sky
291,Male,4.17,73.51,84.2,79,75,8.05,MV,broken clouds
292,Yulara,-25.24,130.99,60.8,23,0,8.05,AU,clear sky
293,Tiksi,71.69,128.87,42.22,80,51,6.76,RU,broken clouds
294,Owerri,5.48,7.03,77.0,83,75,10.29,NG,light rain
295,Kuching,1.55,110.33,77.0,94,40,3.36,MY,scattered clouds
296,Lazaro Cardenas,17.96,-102.2,81.97,72,96,2.8,MX,overcast clouds
297,Maceio,-9.67,-35.74,80.6,69,75,11.41,BR,broken clouds
298,Dudinka,69.41,86.18,57.2,76,99,4.47,RU,overcast clouds
299,Miles City,46.41,-105.84,62.6,55,1,3.36,US,clear sky
300,Osakarovka,50.56,72.57,59.18,60,0,4.99,KZ,clear sky
301,Rena,61.13,11.36,50.0,82,77,1.99,NO,broken clouds
