City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Seoul,KR,80.6,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
418,Port-Gentil,GA,80.6,broken clouds,-0.72,8.78,Fengshui Residence
420,Kismayo,SO,77.67,few clouds,-0.36,42.55,Agan-Hotel
425,Ryotsu,JP,78.8,broken clouds,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
427,Honiara,SB,75.2,broken clouds,-9.43,159.95,Heritage Park Hotel
428,Nouadhibou,MR,84.2,clear sky,20.93,-17.03,El Medina
429,Maridi,SS,70.84,moderate rain,4.92,29.47,
433,Nacala,MZ,73.38,scattered clouds,-14.54,40.67,Nacala Plaza Business Design Hotel
434,Axim,GH,77.77,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
437,Kimbe,PG,74.03,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
438,Salalah,OM,75.2,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
440,Rafaela,AR,75.0,overcast clouds,-31.25,-61.49,Parra Hotel & Suites
443,Lisakovsk,KZ,71.89,broken clouds,52.54,62.49,"Gostinitsa ""Kontinent"""
444,Nanyang,CN,72.37,light rain,32.99,112.53,Wolong Memory Hotel
451,Qingdao,CN,75.99,light rain,36.1,120.37,Holiday Inn Qingdao City Centre
453,Meadow Lake,US,84.2,clear sky,34.8,-106.54,JKL Inc. R.V Park and Storage
454,Mogadishu,SO,77.58,clear sky,2.04,45.34,Hotel Juba
455,Laguna,US,72.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
456,Isabela,PH,78.89,overcast clouds,6.71,121.97,Isawad Resort
458,Denpasar,ID,78.8,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
471,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,Storyboard Beach Resort
473,Bang Saphan,TH,77.5,overcast clouds,11.21,99.51,Ladawan Boutique Hotel
478,Bontang,ID,77.32,few clouds,0.13,117.5,Okra Leaf Guest House Syariah
479,Kiunga,PG,71.73,light rain,-6.12,141.29,Airport Lodge Kiunga
482,Guadalajara,MX,71.01,broken clouds,20.67,-103.33,Hotel Aranzazú
483,Ende,ID,75.13,clear sky,-8.84,121.66,Dwi Putra Hotel - Ende
484,Yibin,CN,77.88,light rain,28.77,104.62,Handsome Guesthouse
486,Goderich,CA,75.99,scattered clouds,43.75,-81.72,Harmony Inn
488,Chadiza,ZM,74.71,broken clouds,-14.07,32.44,Sankhani Lodge
489,Wukari,NG,77.4,overcast clouds,7.85,9.78,Elimtop
490,Xuddur,SO,82.53,scattered clouds,4.12,43.89,Banjanay Hotel
491,Katsuura,JP,84.2,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
492,Praia Da Vitoria,PT,80.6,scattered clouds,38.73,-27.07,Hotel Branco I
495,Lavumisa,SZ,80.6,broken clouds,-27.31,31.89,ROADSIDE B&B
497,Ilinskaya,RU,72.37,broken clouds,45.72,40.72,
498,Bandarban,BD,84.2,broken clouds,22.2,92.23,Hotel Plaza
501,Atyrau,KZ,80.6,overcast clouds,47.12,51.88,River Palace Hotel
505,Riverton,US,81.0,clear sky,40.52,-111.94,Ramada by Wyndham Draper
508,Tshikapa,CD,82.8,clear sky,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
518,Shenjiamen,CN,79.38,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
525,Pandan,PH,81.21,overcast clouds,14.05,124.17,Bonifacio Lodge
526,Kasongo-Lunda,CD,83.5,light rain,-6.47,16.82,
528,Namatanai,PG,77.72,overcast clouds,-3.67,152.43,Namatanai Hotel
529,Fremont,US,70.0,haze,37.55,-121.99,Best Western Plus Garden Court Inn
533,Vaitape,PF,77.14,scattered clouds,-16.52,-151.75,Conrad Bora Bora Nui
534,Fomboni,KM,77.27,broken clouds,-12.28,43.74,Auberge les abou
535,Sabang,ID,83.93,light rain,5.89,95.32,Hotel Citra
538,Lamont,US,82.0,clear sky,35.26,-118.91,Kristen's place
539,Damghan,IR,72.05,clear sky,36.17,54.35,خوابگاه اساتيد دانشگاه دامغان
540,Ponta Do Sol,PT,82.4,few clouds,32.67,-17.1,Hotel do Campo
